lat,long
-24.369,27.641
-24.392,27.585
-24.404,27.558
-24.406,27.584
-24.398,27.579
-24.41,27.554
-24.412,27.579
-24.454,27.574
-24.468,27.571
-24.47,27.594
-24.482,27.569
-24.472,27.564
-24.474,27.587
-24.486,27.563
-24.833,27.613
-24.835,27.638
-24.838,27.631
-25.839,29.012
-25.848,29.004
-31.743,25.066
-32.257,27.954
-32.25,27.947
-32.253,27.985
-32.306,25.962
-5.525,145.902
-5.928,147.044
-6.321,146.201
-6.292,145.791
-6.494,146.714
-7.057,146.621
-7.127,139.554
-7.128,139.563
-7.57,140.312
-8.004,142.841
-8.006,142.853
-7.471,138.955
-7.433,138.639
-7.443,138.582
-7.534,138.885
-7.723,140.1
-7.482,138.23
-7.483,138.24
-7.527,138.157
-7.607,138.691
-7.705,138.792
-7.987,140.713
-7.863,139.799
-7.88,139.852
-7.82,139.073
-7.998,140.22
-7.999,140.229
-8.05,140.515
-8.019,140.236
-8.076,140.506
-8.088,140.59
-7.882,138.993
-8.03,139.874
-7.788,138.176
-7.789,138.185
-8.183,140.551
-7.938,138.813
-7.982,139.046
-8.165,140.231
-8.166,140.24
-8.187,140.379
-7.853,137.939
-8.335,140.904
-8.29,140.52
-8.342,140.883
-8.343,140.893
-8.497,141.465
-8.498,141.475
-8.399,140.643
-8.386,140.357
-8.387,140.366
-8.421,140.601
-8.423,140.611
-8.523,141.243
-8.475,140.724
-8.488,140.751
-8.57,141.334
-8.494,140.731
-8.496,140.74
-8.614,141.58
-8.616,141.59
-8.693,142.144
-8.694,142.155
-8.596,141.309
-8.521,140.717
-8.663,141.648
-8.665,141.659
-8.683,141.645
-8.335,138.692
-8.336,138.701
-8.653,140.8
-8.719,141.255
-8.737,141.314
-8.669,140.664
-8.285,137.805
-8.291,137.784
-8.299,137.774
-8.3,137.783
-8.354,138.029
-8.991,142.388
-8.834,140.782
-9.067,141.39
-9.068,141.401
-9.049,141.194
-9.05,141.204
-9.052,141.215
-9.076,141.389
-9.078,141.399
-9.06,141.203
-11.197,142.273
-11.209,142.284
-11.268,142.327
-11.263,142.322
-11.265,142.334
-11.446,142.158
-11.448,142.171
-11.452,142.208
-11.454,142.22
-11.463,142.206
-11.465,142.219
-11.466,142.231
-11.468,142.244
-11.482,142.267
-11.483,142.28
-11.494,142.278
-11.487,142.153
-11.506,142.29
-11.508,142.302
-11.509,142.315
-11.525,142.352
-11.527,142.364
-11.677,142.436
-11.746,142.711
-11.811,142.765
-11.828,142.721
-11.86,142.52
-11.872,142.531
-11.874,142.545
-11.876,142.558
-11.904,142.608
-11.935,142.757
-11.944,142.742
-11.948,142.769
-11.95,142.783
-11.963,142.796
-11.951,142.63
-11.954,142.623
-12.059,142.833
-12.082,142.824
-12.408,142.621
-12.41,142.615
-12.412,142.629
-12.42,142.6
-12.421,142.614
-12.425,142.558
-12.427,142.571
-12.429,142.585
-12.43,142.599
-12.402,141.904
-12.404,141.917
-12.398,141.898
-12.4,141.911
-12.401,141.923
-12.671,142.091
-12.709,142.297
-12.711,142.31
-12.132,136.816
-12.078,136.409
-12.17,136.408
-12.179,136.407
-13.091,141.965
-13.112,141.963
-13.113,141.975
-11.855,133.273
-12.227,135.476
-12.023,134.149
-12.062,134.389
-12.41,136.583
-12.034,134.147
-12.422,136.601
-11.933,133.243
-12.454,136.458
-12.295,135.39
-12.465,136.343
-12.475,136.342
-12.116,133.943
-12.023,133.248
-12.035,133.246
-12.63,136.505
-13.407,141.878
-12.668,136.463
-12.671,136.483
-12.679,136.471
-12.146,132.669
-12.672,135.836
-12.679,135.814
-12.68,135.824
-12.688,135.812
-12.73,135.957
-12.735,135.96
-12.785,136.216
-13.785,143.281
-12.794,136.152
-12.798,136.172
-12.799,136.182
-12.802,136.14
-12.804,136.15
-12.815,136.159
-12.816,136.169
-12.758,135.399
-12.759,135.41
-12.855,135.762
-12.865,135.76
-12.866,135.771
-13.715,141.597
-13.716,141.609
-12.799,135.277
-12.902,135.938
-13.722,141.571
-13.723,141.583
-13.725,141.595
-13.726,141.607
-13.732,141.569
-13.737,141.606
-13.738,141.618
-13.728,141.564
-13.73,141.576
-13.733,141.601
-13.735,141.613
-12.819,135.268
-12.821,135.279
-13.743,141.599
-13.745,141.612
-12.834,135.3
-12.836,135.311
-13.754,141.598
-13.755,141.61
-12.42,132.188
-12.543,132.218
-13.2,134.454
-13.202,134.466
-13.211,134.452
-13.213,134.465
-13.228,134.424
-13.223,134.418
-13.225,134.431
-13.315,134.39
-13.338,134.54
-13.344,134.576
-13.346,134.589
-13.342,134.583
-13.32,134.383
-13.322,134.396
-13.357,134.543
-13.377,134.539
-13.388,134.538
-13.24,132.792
-13.243,132.808
-13.238,132.802
-13.241,132.818
-13.25,132.8
-13.252,132.816
-13.163,130.491
-13.177,130.488
-13.181,130.513
-14.24,136.917
-14.257,136.905
-13.185,130.505
-14.037,133.435
-14.039,133.449
-14.034,133.347
-14.067,133.341
-14.069,133.355
-14.092,133.498
-14.069,133.349
-14.096,133.505
-14.156,133.666
-14.158,133.679
-14.163,133.706
-15.688,144.517
-14.165,133.65
-15.698,144.494
-15.701,144.516
-14.171,133.621
-14.181,133.548
-14.212,133.579
-14.908,135.703
-14.098,130.064
-14.403,131.182
-14.406,131.203
-14.409,131.139
-14.412,131.159
-14.416,131.18
-14.419,131.2
-14.422,131.136
-14.425,131.157
-14.429,131.177
-14.432,131.198
-14.428,131.093
-14.431,131.113
-14.442,131.175
-14.445,131.196
-14.452,131.236
-14.456,131.256
-14.409,131.153
-14.413,131.173
-14.417,131.194
-14.42,131.214
-14.418,131.13
-14.422,131.15
-14.426,131.171
-14.429,131.191
-14.424,131.086
-14.428,131.107
-14.442,131.189
-14.45,131.23
-14.453,131.25
-14.441,131.105
-14.444,131.125
-14.463,131.228
-14.466,131.248
-14.461,131.144
-14.465,131.164
-14.456,131.037
-14.46,131.058
-14.474,131.141
-14.478,131.162
-14.473,131.056
-14.476,131.077
-14.486,131.053
-14.489,131.074
-14.482,131.048
-14.486,131.068
-14.54,131.144
-14.544,131.165
-14.547,131.185
-14.553,131.141
-14.557,131.162
-14.56,131.182
-14.562,131.118
-14.566,131.139
-14.57,131.16
-14.573,131.18
-14.575,131.116
-14.579,131.136
-14.582,131.157
-14.593,131.148
-15.365,134.728
-15.367,134.739
-15.375,134.726
-15.377,134.738
-15.414,134.713
-15.424,134.712
-15.593,135.186
-16.635,139.332
-15.35,128.617
-18.189,144.35
-18.182,144.344
-18.196,144.343
-16.001,128.905
-16.006,128.934
-28.725,129.714
-28.698,122.783
-28.708,122.826
-28.71,122.819
-32.451,146.142
-32.448,146.135
-34.198,142.252
-34.2,142.245
-24.686,-42.501
-24.688,-42.513
-22.909,-43.733
-23.336,-46.963
-23.4,-47.505
-23.273,-47.641
-23.274,-47.651
-22.878,-46.642
-22.76,-46.914
-22.761,-46.923
-23.096,-50.335
-22.48,-49.103
-21.398,-41.944
-21.397,-41.949
-21.679,-48.137
-21.681,-48.147
-21.536,-47.16
-21.537,-47.17
-21.029,-44.149
-21.031,-44.16
-21.02,-44.15
-21.022,-44.161
-21.519,-48.672
-21.52,-48.682
-20.558,-42.489
-20.564,-42.48
-21.544,-49.746
-21.534,-49.748
